01|001|12/02/2018|TechWorld Brasil 2017
02|001|BBO Bit,Byte&Objects Eventos
03|001|UFRGS (Universidade Federal do Rio Grande do Sul)
04|001|Marie Figueroa|mariefigueroa@ultrimax.com
04|002|Kirkland Acosta|kirklandacosta@ultrimax.com
04|003|Boone Donovan|boonedonovan@ultrimax.com
04|004|Edith Barrett|edithbarrett@ultrimax.com
04|005|Vasquez Porter|vasquezporter@ultrimax.com
04|006|Cindy Mccarty|cindymccarty@ultrimax.com
04|007|Lynne Baird|lynnebaird@ultrimax.com
04|008|Talley King|talleyking@ultrimax.com
04|009|Hodge Ruiz|hodgeruiz@ultrimax.com
04|010|Shelby Terry|shelbyterry@ultrimax.com
05|001|Palestrante 1|EmailPalestrante1|CurriculoPalestrante1|TelefonePalestrante1
05|002|Palestrante 2|EmailPalestrante2|CurriculoPalestrante2|TelefonePalestrante2
05|003|Palestrante 3|EmailPalestrante3|CurriculoPalestrante3|TelefonePalestrante3
06|001|Palestra 1
06|002|Palestra 2
06|003|Palestra 3
06|004|Palestra 4
07|1|1|1
08|1|1
08|2|2
08|2|4
08|3|3
09|001|Sala1|Hora1|Plte1|Ptra1
09|002|Sala2|Hora2|Plte2|Ptra2
09|003|Sala1|Hora2|Plte3|Ptra3
09|004|Sala2|Hora3|Plte2|Ptra4
10|001|Participante01
10|001|Participante02
10|001|Participante03
10|001|Participante04
10|001|Participante05
10|002|Participante06
10|002|Participante07
10|002|Participante08
10|002|Participante09
10|002|Participante10
10|003|Participante01
10|003|Participante03
10|003|Participante05
10|004|Participante01
10|004|Participante02
10|004|Participante03
10|004|Participante04
10|004|Participante05
10|004|Participante06
10|004|Participante07
10|004|Participante08
10|004|Participante09
10|004|Participante10
